Wall time,Step,Value
1585333703.6434875,0,-inf
1585333703.6435437,1,-67.41219329833984
1585333703.6435995,2,-16.85304832458496
1585333703.643649,3,-7.490243434906006
1585333703.6436977,4,-4.21326208114624
1585333703.6442962,5,-2.6964876651763916
1585333703.6443505,6,-1.8725608587265015
1585333703.6443996,7,-1.3757590055465698
1585333703.6444483,8,-1.05331552028656
1585333703.6444967,9,-0.8322492837905884
1585333703.645149,10,-0.6741219162940979
1585333703.6451988,11,-0.5571255683898926
1585333703.6452475,12,-0.46814021468162537
1585333703.6452956,13,-0.3988887071609497
1585333703.6453438,14,-0.34393975138664246
1585333703.645786,15,-0.2996097505092621
1585333703.6458364,16,-0.26332888007164
1585333703.6458848,17,-0.23326018452644348
1585333703.6459336,18,-0.2080623209476471
1585333703.6459818,19,-0.18673737347126007
1585333703.6464224,20,-0.16853047907352448
1585333703.6464725,21,-0.15286211669445038
1585333703.6465209,22,-0.13928139209747314
1585333703.646569,23,-0.12743325531482697
1585333703.6466172,24,-0.11703505367040634
1585333703.647064,25,-0.10785950720310211
1585333703.6471143,26,-0.09972217679023743
1585333703.6471627,27,-0.092472143471241
1585333703.6472113,28,-0.08598493784666061
1585333703.6472597,29,-0.08015718311071396
1585333703.647696,30,-0.07490243762731552
1585333703.647746,31,-0.07014796137809753
1585333703.647794,32,-0.06583222001791
1585333703.6478424,33,-0.061902839690446854
1585333703.647895,34,-0.05831504613161087
1585333703.6483307,35,-0.05503036081790924
1585333703.6483805,36,-0.052015580236911774
1585333703.6484284,37,-0.04924192279577255
1585333703.6484764,38,-0.04668434336781502
1585333703.6485238,39,-0.0443209670484066
1585333703.648731,40,-0.04213261976838112
1585333703.6487803,41,-0.040102433413267136
1585333703.6492243,42,-0.038215529173612595
1585333703.6492739,43,-0.036458730697631836
1585333703.6493216,44,-0.034820348024368286
1585333703.6493695,45,-0.03328997269272804
1585333703.6494172,46,-0.03185831382870674
1585333703.6498523,47,-0.030517062172293663
1585333703.649902,48,-0.029258763417601585
1585333703.6499493,49,-0.028076713904738426
1585333703.649997,50,-0.026964876800775528
1585333703.650045,51,-0.025917798280715942
1585333703.65048,52,-0.024930544197559357
1585333703.6505299,53,-0.023998644202947617
1585333703.650577,54,-0.02311803586781025
1585333703.650624,55,-0.02228502184152603
1585333703.6506712,56,-0.021496234461665154
1585333703.6511123,57,-0.020748596638441086
1585333703.6511621,58,-0.02003929577767849
1585333703.6512098,59,-0.01936575397849083
1585333703.6512573,60,-0.01872560940682888
1585333703.651305,61,-0.01811668649315834
1585333703.6517403,62,-0.017536990344524384
1585333703.6517897,63,-0.01698467880487442
1585333703.6518373,64,-0.0164580550044775
1585333703.651885,65,-0.015955548733472824
1585333703.6519327,66,-0.015475709922611713
1585333703.652371,67,-0.015017195604741573
1585333703.6524208,68,-0.014578761532902718
1585333703.6524682,69,-0.014159251004457474
1585333703.6525166,70,-0.01375759020447731
1585333703.6525643,71,-0.013372781686484814
1585333703.6530008,72,-0.013003895059227943
1585333703.6530514,73,-0.012650064192712307
1585333703.6530993,74,-0.012310480698943138
1585333703.6531467,75,-0.011984389275312424
1585333703.6531947,76,-0.011671085841953754
1585333703.6533666,77,-0.011369909159839153
1585333703.6534162,78,-0.01108024176210165
1585333703.6538663,79,-0.010801505297422409
1585333703.6539145,80,-0.01053315494209528
1585333703.6539626,81,-0.010274682193994522
1585333703.6540108,82,-0.010025608353316784
1585333703.654059,83,-0.009785482659935951
1585333703.654545,84,-0.009553882293403149
1585333703.6545935,85,-0.009330406785011292
1585333703.6546414,86,-0.009114682674407959
1585333703.6546893,87,-0.008906354196369648
1585333703.6547375,88,-0.008705087006092072
1585333703.655281,89,-0.008510565385222435
1585333703.655346,90,-0.00832249317318201
1585333703.6554108,91,-0.00814058631658554
1585333703.6554763,92,-0.007964578457176685
1585333703.6555414,93,-0.007794218137860298
1585333703.6560113,94,-0.007629265543073416
1585333703.6560771,95,-0.007469494827091694
1585333703.6561418,96,-0.007314690854400396
1585333703.656207,97,-0.00716465013101697
1585333703.656272,98,-0.0070191784761846066
1585333703.6567402,99,-0.006878093350678682
1585333703.6568058,100,-0.006741219200193882
1585333703.6568701,101,-0.006608390714973211
1585333703.6569347,102,-0.006479449570178986
1585333703.656999,103,-0.006354245822876692
1585333703.6574662,104,-0.006232636049389839
1585333703.6575313,105,-0.006114484742283821
1585333703.6575959,106,-0.005999661050736904
1585333703.6576605,107,-0.005888042040169239
1585333703.6577253,108,-0.005779508966952562
1585333703.658193,109,-0.0056739491410553455
1585333703.6582582,110,-0.005571255460381508
1585333703.6583228,111,-0.005471324548125267
1585333703.6583884,112,-0.005374058615416288
1585333703.658453,113,-0.005279363598674536
1585333703.65865,114,-0.0051871491596102715
1585333703.6591303,115,-0.005097330082207918
1585333703.6591983,116,-0.005009823944419622
1585333703.6592636,117,-0.004924552049487829
1585333703.6593287,118,-0.004841438494622707
1585333703.6593935,119,-0.004760412033647299
1585333703.6598592,120,-0.00468140235170722
1585333703.6599274,121,-0.0046043433248996735
1585333703.659992,122,-0.004529171623289585
1585333703.6600568,123,-0.004455826245248318
1585333703.660122,124,-0.004384247586131096
1585333703.660584,125,-0.00431438023224473
1585333703.6606514,126,-0.004246169701218605
1585333703.6607163,127,-0.00417956430464983
1585333703.6607816,128,-0.004114513751119375
1585333703.660847,129,-0.0040509700775146484
1585333703.6613128,130,-0.003988887183368206
1585333703.6613808,131,-0.0039282203651964664
1585333703.6614454,132,-0.0038689274806529284
1585333703.6615107,133,-0.0038109668530523777
1585333703.6615758,134,-0.0037542989011853933
1585333703.6620433,135,-0.0036988856736570597
1585333703.662111,136,-0.0036446903832256794
1585333703.6621761,137,-0.0035916774068027735
1585333703.6622415,138,-0.0035398127511143684
1585333703.6623068,139,-0.0034890633542090654
1585333703.6627777,140,-0.0034393975511193275
1585333703.6628454,141,-0.003390784841030836
1585333703.6629164,142,-0.0033431954216212034
1585333703.662983,143,-0.0032966008875519037
1585333703.6630485,144,-0.003250973764806986
1585333703.663518,145,-0.0032062872778624296
1585333703.6635852,146,-0.0031625160481780767
1585333703.6636505,147,-0.0031196349300444126
1585333703.6637151,148,-0.0030776201747357845
1585333703.6637802,149,-0.003036448499187827
1585333703.6639771,150,-0.002996097318828106
1585333703.6640444,151,-0.0029565454460680485
1585333703.6645224,152,-0.0029177714604884386
1585333703.6645868,153,-0.002879755338653922
1585333703.6646519,154,-0.0028424772899597883
1585333703.6647167,155,-0.0028059184551239014
1585333703.664781,156,-0.0027700604405254126
1585333703.6652508,157,-0.002734885551035404
1585333703.6653159,158,-0.0027003763243556023
1585333703.6653805,159,-0.0026665159966796637
1585333703.6654456,160,-0.00263328873552382
1585333703.6655107,161,-0.0026006787084043026
1585333703.665983,162,-0.0025686705484986305
1585333703.6660483,163,-0.002537249820306897
1585333703.6661134,164,-0.002506402088329196
1585333703.6661775,165,-0.0024761136155575514
1585333703.6662414,166,-0.002446370664983988
1585333703.6667128,167,-0.002417160663753748
1585333703.666778,168,-0.002388470573350787
1585333703.6668427,169,-0.0023602882865816355
1585333703.6669137,170,-0.002332601696252823
1585333703.6669807,171,-0.002305399626493454
1585333703.667452,172,-0.0022786706686019897
1585333703.6675177,173,-0.002252403646707535
1585333703.667583,174,-0.002226588549092412
1585333703.6676483,175,-0.0022012144327163696
1585333703.6677144,176,-0.002176271751523018
1585333703.6682272,177,-0.0021517504937946796
1585333703.6682928,178,-0.0021276413463056087
1585333703.6683583,179,-0.0021039352286607027
1585333703.6684232,180,-0.0020806232932955027
1585333703.6684885,181,-0.002057696459814906
1585333703.6689363,182,-0.002035146579146385
1585333703.6690009,183,-0.0020129652693867683
1585333703.6690657,184,-0.0019911446142941713
1585333703.6691308,185,-0.0019696769304573536
1585333703.6691957,186,-0.0019485545344650745
1585333703.6696165,187,-0.001927770092152059
1585333703.6696844,188,-0.001907316385768354
1585333703.6697495,189,-0.0018871865468099713
1585333703.6698146,190,-0.0018673737067729235
1585333703.6698794,191,-0.0018478712299838662
1585333703.670225,192,-0.001828672713600099
1585333703.6702921,193,-0.0018097718711942434
1585333703.670357,194,-0.0017911625327542424
1585333703.6704223,195,-0.0017728387610986829
1585333703.6704872,196,-0.0017547946190461516
1585333703.67083,197,-0.0017370247514918447
1585333703.6709054,198,-0.0017195233376696706
1585333703.670973,199,-0.0017022851388901472
1585333703.6710386,200,-0.0016853048000484705
1585333703.671103,201,-0.0016685773152858019
1585333703.6714447,202,-0.0016520976787433028
1585333703.671512,203,-0.0016358608845621347
1585333703.6715758,204,-0.0016198623925447464
1585333703.6716402,205,-0.001604097313247621
1585333703.6717048,206,-0.001588561455719173
1585333703.6720467,207,-0.0015732500469312072
1585333703.672115,208,-0.0015581590123474598
1585333703.672181,209,-0.0015432840446010232
1585333703.6722462,210,-0.0015286211855709553
1585333703.6723113,211,-0.0015141661278903484
1585333703.6726518,212,-0.001499915262684226
1585333703.6727188,213,-0.001485864631831646
1585333703.672784,214,-0.0014720105100423098
1585333703.672849,215,-0.001458349172025919
1585333703.6729145,216,-0.0014448772417381406
1585333703.673255,217,-0.001431591110303998
1585333703.6733224,218,-0.0014184872852638364
1585333703.6733873,219,-0.0014055627398192883
1585333703.6734521,220,-0.001392813865095377
1585333703.6735168,221,-0.0013802377507090569
1585333703.6736495,222,-0.0013678311370313168
1585333703.6739979,223,-0.001355591113679111
1585333703.6740656,224,-0.001343514653854072
1585333703.6741307,225,-0.0013315988471731544
1585333703.6741967,226,-0.001319840899668634
1585333703.6742623,227,-0.0013082379009574652
1585333703.674604,228,-0.0012967872899025679
1585333703.674672,229,-0.00128548638895154
1585333703.674737,230,-0.0012743325205519795
1585333703.6748018,231,-0.0012633232399821281
1585333703.6748672,232,-0.0012524559861049056
1585333703.6752138,233,-0.0012417284306138754
1585333703.6752822,234,-0.0012311380123719573
1585333703.6753476,235,-0.0012206825194880366
1585333703.6754127,236,-0.0012103596236556768
1585333703.6754775,237,-0.001200167229399085
1585333703.675817,238,-0.0011901030084118247
1585333703.6758838,239,-0.001180164748802781
1585333703.6759489,240,-0.001170350587926805
1585333703.6760135,241,-0.00116065819747746
1585333703.6760786,242,-0.0011510858312249184
1585333703.6764202,243,-0.0011416313936933875
1585333703.676488,244,-0.0011322929058223963
1585333703.6765525,245,-0.0011230686213821173
1585333703.6766176,246,-0.0011139565613120794
1585333703.676683,247,-0.0011049548629671335
1585333703.6770236,248,-0.001096061896532774
1585333703.6770911,249,-0.0010872759157791734
1585333703.677156,250,-0.0010785950580611825
1585333703.6772208,251,-0.0010700178099796176
1585333703.6772861,252,-0.0010615424253046513
1585333703.6776257,253,-0.0010531673906370997
1585333703.6776934,254,-0.0010448910761624575
1585333703.6777582,255,-0.0010367118520662189
1585333703.6778243,256,-0.0010286284377798438
1585333703.6778896,257,-0.001020639087073505
1585333703.6780229,258,-0.0010127425193786621
1585333703.6783657,259,-0.0010049372212961316
1585333703.6784337,260,-0.0009972217958420515
1585333703.6784995,261,-0.0009895948460325599
1585333703.6785648,262,-0.0009820550912991166
1585333703.6786299,263,-0.0009746011928655207
1585333703.6789877,264,-0.0009672318701632321
1585333703.6790557,265,-0.0009599457844160497
1585333703.6791203,266,-0.0009527417132630944
1585333703.6791854,267,-0.000945618434343487
1585333703.6792507,268,-0.0009385747252963483
1585333703.6795864,269,-0.000931609480176121
1585333703.679654,270,-0.0009247214184142649
1585333703.679719,271,-0.0009179094922728837
1585333703.6797845,272,-0.0009111725958064198
1585333703.6798491,273,-0.0009045095648616552
1585333703.6801906,274,-0.0008979193517006934
1585333703.6802585,275,-0.0008914009085856378
1585333703.680324,276,-0.0008849531877785921
1585333703.6803894,277,-0.0008785751415416598
1585333703.6804554,278,-0.0008722658385522664
1585333703.6807916,279,-0.0008660242310725152
1585333703.680859,280,-0.0008598493877798319
1585333703.680925,281,-0.0008537403773516417
1585333703.6809902,282,-0.000847696210257709
1585333703.6810548,283,-0.0008417160133831203
1585333703.681395,284,-0.0008357988554053009
1585333703.6814635,285,-0.000829943863209337
1585333703.681529,286,-0.0008241502218879759
1585333703.681595,287,-0.000818417000118643
1585333703.681661,288,-0.0008127434412017465
1585333703.6819968,289,-0.0008071286720223725
1585333703.6820652,290,-0.0008015718194656074
1585333703.68213,291,-0.0007960722432471812
1585333703.682195,292,-0.0007906290120445192
1585333703.6822596,293,-0.0007852414273656905
1585333703.6823928,294,-0.0007799087325111032
1585333703.6827357,295,-0.0007746301707811654
1585333703.6828043,296,-0.0007694050436839461
1585333703.6828697,297,-0.0007642325945198536
1585333703.6829429,298,-0.0007591121247969568
1585333703.683009,299,-0.0007540429360233247
1585333703.6833506,300,-0.0007490243297070265
1585333703.6834185,301,-0.0007440557237714529
1585333703.6834836,302,-0.0007391363615170121
1585333703.6835492,303,-0.0007342656026594341
1585333703.6836147,304,-0.0007294428651221097
1585333703.6839507,305,-0.0007246674504131079
1585333703.6840189,306,-0.0007199388346634805
1585333703.684085,307,-0.0007152563193812966
1585333703.6841514,308,-0.0007106193224899471
1585333703.684217,309,-0.0007060273201204836
1585333703.6845596,310,-0.0007014796137809753
1585333703.6846275,311,-0.0006969757378101349
1585333703.6846926,312,-0.0006925151101313531
1585333703.6847577,313,-0.000688097148668021
1585333703.6848235,314,-0.000683721387758851
1585333703.6851609,315,-0.0006793871871195734
1585333703.6852295,316,-0.0006750940810889006
1585333703.6852946,317,-0.0006708414875902236
1585333703.68536,318,-0.0006666289991699159
1585333703.6854243,319,-0.0006624560919590294
1585333703.6857657,320,-0.000658322183880955
1585333703.6858337,321,-0.0006542268674820662
1585333703.685899,322,-0.0006501696771010756
1585333703.6859639,323,-0.0006461500888690352
1585333703.6860292,324,-0.0006421676371246576
1585333703.6863644,325,-0.0006382219144143164
1585333703.6864326,326,-0.0006343124550767243
1585333703.6864977,327,-0.000630438793450594
1585333703.6865633,328,-0.000626600522082299
1585333703.6866279,329,-0.0006227971753105521
1585333703.6867614,330,-0.0006190284038893878
1585333703.6871078,331,-0.000615293683949858
1585333703.6871758,332,-0.000611592666245997
1585333703.6872413,333,-0.0006079249433241785
1585333703.687307,334,-0.000604290165938437
1585333703.6873717,335,-0.0006006878102198243
1585333703.6877136,336,-0.0005971176433376968
1585333703.6877818,337,-0.0005935791414231062
1585333703.6878471,338,-0.0005900720716454089
1585333703.6879122,339,-0.0005865959101356566
1585333703.687977,340,-0.0005831504240632057
1585333703.688313,341,-0.0005797352059744298
1585333703.6883807,342,-0.0005763499066233635
1585333703.6884453,343,-0.0005729941767640412
1585333703.6885104,344,-0.0005696676671504974
1585333703.688575,345,-0.0005663700285367668
1585333703.6889164,346,-0.0005631009116768837
1585333703.6889844,347,-0.0005598600837402046
1585333703.6890497,348,-0.000556647137273103
1585333703.6891148,349,-0.0005534617230296135
1585333703.68918,350,-0.0005503036081790924
1585333703.6895168,351,-0.0005471724434755743
1585333703.6895852,352,-0.0005440679378807545
1585333703.68965,353,-0.0005409897421486676
1585333703.6897154,354,-0.0005379376234486699
1585333703.6897807,355,-0.0005349112907424569
1585333703.6901236,356,-0.0005319103365764022
1585333703.6901915,357,-0.0005289346445351839
1585333703.6902568,358,-0.0005259838071651757
1585333703.6903205,359,-0.0005230576498433948
1585333703.690386,360,-0.0005201558233238757
1585333703.6907232,361,-0.0005172780365683138
1585333703.6907911,362,-0.0005144241149537265
1585333703.690856,363,-0.0005115937092341483
1585333703.6909285,364,-0.0005087866447865963
1585333703.6909938,365,-0.0005060025723651052
1585333703.691129,366,-0.0005032413173466921
1585333703.6914709,367,-0.0005005025886930525
1585333703.6915386,368,-0.0004977861535735428
1585333703.6916034,369,-0.0004950917791575193
1585333703.691668,370,-0.0004924192326143384
1585333703.691733,371,-0.0004897682229056954
1585333703.6920738,372,-0.00048713863361626863
1585333703.6921418,373,-0.0004845301155000925
1585333703.692207,374,-0.00048194252303801477
1585333703.6922722,375,-0.0004793755942955613
1585333703.6923373,376,-0.0004768290964420885
1585333703.692673,377,-0.00047430285485461354
1585333703.6927407,378,-0.00047179663670249283
1585333703.6928055,379,-0.00046931023825891316
1585333703.6928706,380,-0.00046684342669323087
1585333703.6929357,381,-0.0004643960273824632
1585333703.693277,382,-0.00046196780749596655
1585333703.6933448,383,-0.00045955859241075814
1585333703.6934104,384,-0.00045716817840002477
1585333703.6934755,385,-0.00045479636173695326
1585333703.6935406,386,-0.00045244296779856086
1585333703.6938767,387,-0.0004501077637542039
1585333703.693945,388,-0.0004477906331885606
1585333703.69401,389,-0.0004454913141671568
1585333703.6940756,390,-0.0004432096902746707
1585333703.6941402,391,-0.00044094552868045866
1585333703.694483,392,-0.0004386986547615379
1585333703.6945505,393,-0.0004364689521025866
1585333703.694616,394,-0.00043425618787296116
1585333703.6946812,395,-0.0004320601874496788
1585333703.6947465,396,-0.00042988083441741765
1585333703.695087,397,-0.0004277178959455341
1585333703.6951551,398,-0.0004255712847225368
1585333703.6952205,399,-0.00042344076791778207
1585333703.6952868,400,-0.0004213262000121176
1585333703.6953526,401,-0.0004192274354863912
1585333703.6954863,402,-0.00041714432882145047
1585333703.6958296,403,-0.00041507670539431274
1585333703.6958976,404,-0.0004130244196858257
1585333703.6959631,405,-0.00041098729707300663
1585333703.6960287,406,-0.0004089652211405337
1585333703.6960945,407,-0.0004069580463692546
1585333703.6964376,408,-0.0004049655981361866
1585333703.6965055,409,-0.00040298773092217743
1585333703.6965709,410,-0.00040102432831190526
1585333703.6966364,411,-0.0003990752447862178
1585333703.6967018,412,-0.00039714036392979324
1585333703.697038,413,-0.00039521948201581836
1585333703.6971061,414,-0.0003933125117328018
1585333703.6971712,415,-0.00039141930756159127
1585333703.6972365,416,-0.00038953975308686495
1585333703.6973026,417,-0.00038767370278947055
1585333703.6976433,418,-0.0003858210111502558
1585333703.697711,419,-0.0003839815908577293
1585333703.6977768,420,-0.0003821552963927388
1585333703.6978421,421,-0.000380341982236132
1585333703.697907,422,-0.0003785415319725871
1585333703.6982434,423,-0.0003767538582906127
1585333703.698311,424,-0.0003749788156710565
1585333703.6983764,425,-0.0003732162876985967
1585333703.6984422,426,-0.0003714661579579115
1585333703.6985078,427,-0.000369728310033679
1585333703.6988504,428,-0.00036800262751057744
1585333703.6989248,429,-0.00036628899397328496
1585333703.6989908,430,-0.00036458729300647974
1585333703.6990557,431,-0.0003628974372986704
1585333703.69912,432,-0.00036121931043453515
1585333703.6994567,433,-0.0003595527959987521
1585333703.6995244,434,-0.0003578977775759995
1585333703.6995895,435,-0.00035625413875095546
1585333703.699655,436,-0.0003546218213159591
1585333703.6997206,437,-0.00035300070885568857
1585333703.6998274,438,-0.00035139068495482206
1585333703.7001786,439,-0.00034979163319803774
1585333703.700244,440,-0.00034820346627384424
1585333703.7003093,441,-0.0003466260968707502
1585333703.7003748,442,-0.0003450594376772642
1585333703.7004392,443,-0.0003435033722780645
1585333703.7007794,444,-0.0003419577842578292
1585333703.7008448,445,-0.00034042264451272786
1585333703.7009096,446,-0.00033889777841977775
1585333703.7009745,447,-0.0003373831568751484
1585333703.7010398,448,-0.000335878663463518
1585333703.7013836,449,-0.0003343842108733952
1585333703.7014492,450,-0.0003328997117932886
1585333703.7015147,451,-0.0003314250789117068
1585333703.7015798,452,-0.0003299602249171585
1585333703.7016442,453,-0.0003285050333943218
1585333703.7019854,454,-0.0003270594752393663
1585333703.7020514,455,-0.00032562343403697014
1585333703.7021167,456,-0.00032419682247564197
1585333703.702182,457,-0.00032277958234772086
1585333703.7022474,458,-0.000321371597237885
1585333703.7025917,459,-0.00031997280893847346
1585333703.7026572,460,-0.0003185831301379949
1585333703.7027225,461,-0.00031720250262878835
1585333703.7027884,462,-0.00031583080999553204
1585333703.7028525,463,-0.000314467994030565
1585333703.7031963,464,-0.0003131139965262264
1585333703.7032616,465,-0.0003117687301710248
1585333703.7033262,466,-0.00031043210765346885
1585333703.7033916,467,-0.0003091040416620672
1585333703.7034564,468,-0.0003077845030929893
1585333703.7037992,469,-0.00030647337553091347
1585333703.7038648,470,-0.00030517062987200916
1585333703.70393,471,-0.00030387614970095456
1585333703.7039952,472,-0.0003025899059139192
1585333703.7040603,473,-0.00030131181119941175
1585333703.7041948,474,-0.00030004180734977126
1585333703.704544,475,-0.0002987798070535064
1585333703.70461,476,-0.0002975257521029562
1585333703.7046752,477,-0.0002962795551866293
1585333703.7047405,478,-0.0002950411872006953
1585333703.7048054,479,-0.00029381056083366275
1585333703.7051468,480,-0.00029258764698170125
1585333703.705212,481,-0.00029137232922948897
1585333703.7052777,482,-0.000290164549369365
1585333703.7053425,483,-0.0002889643074013293
1585333703.7054076,484,-0.0002877714578062296
1585333703.7057528,485,-0.0002865860005840659
1585333703.7058182,486,-0.0002854078484233469
1585333703.7058835,487,-0.00028423694311641157
1585333703.7059486,488,-0.00028307322645559907
1585333703.7060125,489,-0.00028191664023324847
1585333703.7063506,490,-0.0002807671553455293
1585333703.7064164,491,-0.0002796246553771198
1585333703.7064812,492,-0.00027848914032801986
1585333703.706547,493,-0.0002773604937829077
1585333703.7066126,494,-0.0002762387157417834
1585333703.7069612,495,-0.00027512371889315546
1585333703.7070267,496,-0.0002740154741331935
1585333703.7070916,497,-0.0002729139232542366
1585333703.707157,498,-0.00027181897894479334
1585333703.707222,499,-0.00027073061210103333
