Wall time,Step,Value
1585333086.2229326,0,100.0
1585333086.9665403,1,92.0
1585333087.6921973,2,86.0
1585333088.3844907,3,71.0
1585333089.0304747,4,69.0
1585333089.6616094,5,61.0
1585333090.2919853,6,62.0
1585333090.9091134,7,59.0
1585333091.5094748,8,60.0
1585333092.123848,9,52.0
1585333092.7153056,10,39.0
1585333093.3110383,11,51.0
1585333093.9101496,12,46.0
1585333094.4972172,13,47.0
1585333095.0912845,14,45.0
1585333095.6929991,15,38.0
1585333096.272448,16,37.0
1585333096.8511236,17,34.0
1585333097.448274,18,37.0
1585333098.0213974,19,22.0
1585333098.6000543,20,28.0
1585333099.1834068,21,24.0
1585333099.756994,22,20.0
1585333100.3296173,23,22.0
1585333100.9297516,24,19.0
1585333101.4982274,25,18.0
1585333102.0705538,26,17.0
1585333102.6584177,27,14.0
1585333103.236102,28,13.0
1585333103.8099735,29,11.0
1585333104.3892088,30,10.0
1585333104.9580762,31,10.0
1585333105.5224903,32,7.0
1585333106.0990765,33,7.0
1585333106.6645765,34,11.0
1585333107.2346122,35,7.0
1585333107.8141594,36,6.0
1585333108.3831968,37,6.0
1585333108.948982,38,5.0
1585333109.5411465,39,6.0
1585333110.10335,40,6.0
1585333110.674873,41,7.0
1585333111.2480834,42,5.0
1585333111.8160524,43,5.0
1585333112.379962,44,5.0
1585333112.953757,45,5.0
1585333113.5206614,46,5.0
1585333114.0841403,47,5.0
1585333114.6568103,48,5.0
1585333115.2154355,49,5.0
1585333115.7704234,50,5.0
1585333116.3440948,51,5.0
1585333116.921835,52,5.0
1585333117.4806755,53,5.0
1585333118.044177,54,4.0
1585333118.6108124,55,4.0
1585333119.179178,56,4.0
1585333119.7503006,57,4.0
1585333120.3119998,58,4.0
1585333120.8775506,59,4.0
1585333121.4615324,60,4.0
1585333122.0198238,61,4.0
1585333122.5856595,62,4.0
1585333123.1791463,63,4.0
1585333123.7474952,64,4.0
1585333124.3280325,65,4.0
1585333124.907551,66,4.0
1585333125.4692245,67,4.0
1585333126.0408466,68,4.0
1585333126.6207497,69,3.0
1585333127.200262,70,3.0
1585333127.7592163,71,3.0
1585333128.3341594,72,3.0
1585333128.8832676,73,3.0
1585333129.4438097,74,3.0
1585333130.0024135,75,3.0
1585333130.5702581,76,3.0
1585333131.1302094,77,3.0
1585333131.69906,78,3.0
1585333132.2516005,79,3.0
1585333132.7969291,80,3.0
1585333133.354667,81,3.0
1585333133.9145172,82,3.0
1585333134.461021,83,3.0
1585333135.0213025,84,3.0
1585333135.5833774,85,3.0
1585333136.142881,86,3.0
1585333136.6942549,87,3.0
1585333137.261096,88,3.0
1585333137.8026428,89,3.0
1585333138.3536837,90,3.0
1585333138.8924673,91,3.0
1585333139.4375443,92,3.0
1585333139.9877212,93,3.0
1585333140.5290487,94,3.0
1585333141.0695953,95,3.0
1585333141.631142,96,3.0
1585333142.1757877,97,3.0
1585333142.7199543,98,3.0
1585333143.2750094,99,3.0
1585333143.818246,100,3.0
1585333144.36715,101,3.0
1585333144.9216228,102,3.0
1585333145.469314,103,3.0
1585333146.009785,104,3.0
1585333146.5637808,105,3.0
1585333147.1012974,106,3.0
1585333147.6442251,107,2.0
1585333148.1970508,108,2.0
1585333148.7406123,109,2.0
1585333149.2816348,110,2.0
1585333149.8403966,111,2.0
