Wall time,Step,Value
1585333086.2228303,0,inf
1585333086.966446,1,inf
1585333087.691872,2,inf
1585333088.3844016,3,inf
1585333089.0303655,4,inf
1585333089.6615036,5,inf
1585333090.2914188,6,inf
1585333090.9090097,7,inf
1585333091.509367,8,inf
1585333092.1237423,9,inf
1585333092.7148545,10,inf
1585333093.3108292,11,inf
1585333093.9100442,12,inf
1585333094.4967694,13,inf
1585333095.0911973,14,inf
1585333095.6924496,15,inf
1585333096.2723606,16,inf
1585333096.8510172,17,inf
1585333097.4481676,18,inf
1585333098.02129,19,inf
1585333098.5999453,20,-0.1240609660744667
1585333099.1832995,21,-0.10327406972646713
1585333099.756886,22,-0.09804148226976395
1585333100.3295083,23,-0.09289900958538055
1585333100.9296734,24,-0.0908147320151329
1585333101.4977531,25,-0.09023060649633408
1585333102.0701962,26,-0.09215831756591797
1585333102.6581042,27,-0.0908401608467102
1585333103.2357943,28,-0.08979196101427078
1585333103.8096657,29,-0.09244555234909058
1585333104.3891325,30,-0.09066484123468399
1585333104.957769,31,-0.08582799136638641
1585333105.5221777,32,-0.07945899665355682
1585333106.098811,33,-0.07204049825668335
1585333106.664276,34,-0.07230646163225174
1585333107.234303,35,-0.07870735228061676
1585333107.813849,36,-0.0754665806889534
1585333108.3828783,37,-0.07159620523452759
1585333108.948587,38,-0.06616899371147156
1585333109.5408373,39,-0.06359811872243881
1585333110.1030326,40,-0.06464284658432007
1585333110.6745572,41,-0.06373608112335205
1585333111.2477708,42,-0.06131481006741524
1585333111.8157878,43,-0.05911598727107048
1585333112.3796537,44,-0.05594578757882118
1585333112.9534495,45,-0.052918851375579834
1585333113.5203516,46,-0.04972290247678757
1585333114.0838723,47,-0.046761613339185715
1585333114.656504,48,-0.0440673902630806
1585333115.2151198,49,-0.04305405542254448
1585333115.7701097,50,-0.0383736677467823
1585333116.3436515,51,-0.035962432622909546
1585333116.9215171,52,-0.027807988226413727
1585333117.4803638,53,-0.024285655468702316
1585333118.0438585,54,-0.024340542033314705
1585333118.6104956,55,-0.023394767194986343
1585333119.1787248,56,-0.024356091395020485
1585333119.7499819,57,-0.02340373583137989
1585333120.3116927,58,-0.022060252726078033
1585333120.8770778,59,-0.020778995007276535
1585333121.4611664,60,-0.019725020974874496
1585333122.0193124,61,-0.017945945262908936
1585333122.5851572,62,-0.016035819426178932
1585333123.1786933,63,-0.014466963708400726
1585333123.7469983,64,-0.01313044223934412
1585333124.3273385,65,-0.012867189943790436
1585333124.9072454,66,-0.012401060201227665
1585333125.4687562,67,-0.01194046065211296
1585333126.0403588,68,-0.011890423484146595
1585333126.6203344,69,-0.012356040067970753
1585333127.1998239,70,-0.017895353958010674
1585333127.7586353,71,-0.029733361676335335
1585333128.3337166,72,-0.0304582379758358
1585333128.8827682,73,-0.028496775776147842
1585333129.4433377,74,-0.027517246082425117
1585333130.0020144,75,-0.02669239044189453
1585333130.5697875,76,-0.02578405663371086
1585333131.1295042,77,-0.025038501247763634
1585333131.6987422,78,-0.024181224405765533
1585333132.2512891,79,-0.023643678054213524
1585333132.7964852,80,-0.022891361266374588
1585333133.3541753,81,-0.02212348021566868
1585333133.9141989,82,-0.02153685875236988
1585333134.4607155,83,-0.020967768505215645
1585333135.0208182,84,-0.019652551040053368
1585333135.5830615,85,-0.0187054593116045
1585333136.142795,86,-0.017891934141516685
1585333136.6937847,87,-0.017046155408024788
1585333137.2607887,88,-0.016439517959952354
1585333137.8023393,89,-0.013420181348919868
1585333138.3535242,90,-0.012462150305509567
1585333138.8923106,91,-0.011398829519748688
1585333139.4373853,92,-0.010453256778419018
1585333139.9875624,93,-0.009340557269752026
1585333140.5287452,94,-0.008969339542090893
1585333141.06911,95,-0.008446414023637772
1585333141.6308005,96,-0.008065454661846161
1585333142.1754863,97,-0.00767999654635787
1585333142.7196453,98,-0.006970611866563559
1585333143.2746935,99,-0.006637800019234419
1585333143.8179393,100,-0.005974967963993549
1585333144.3669941,101,-0.005636365618556738
1585333144.9215462,102,-0.005348591599613428
1585333145.469011,103,-0.005078910384327173
1585333146.00971,104,-0.004823312163352966
1585333146.563704,105,-0.004589566960930824
1585333147.1011405,106,-0.004373490810394287
1585333147.6440651,107,-0.004170347936451435
1585333148.1968887,108,-0.003975783474743366
1585333148.7402978,109,-0.0037902884650975466
1585333149.281323,110,-0.0036126289051026106
1585333149.8402383,111,-0.0034539052285254
1585333150.381257,112,-0.0037384212482720613
1585333150.9243574,113,-0.003334377659484744
1585333151.4763958,114,-0.003200150327757001
1585333152.0241082,115,-0.002997333649545908
1585333152.5647972,116,-0.0028647452127188444
1585333153.1146326,117,-0.002857258776202798
1585333153.6542103,118,-0.0026845678221434355
1585333154.1960003,119,-0.0028839593287557364
1585333154.7453551,120,-0.0027271267026662827
1585333155.283865,121,-0.0026036661583930254
1585333155.8201163,122,-0.002505679614841938
1585333156.378443,123,-0.0024249483831226826
1585333156.9220314,124,-0.0023489873856306076
1585333157.473642,125,-0.002278581727296114
1585333158.021266,126,-0.002213283907622099
1585333158.5638275,127,-0.0021518010180443525
1585333159.1072745,128,-0.002093736780807376
1585333159.6559718,129,-0.0020374890882521868
1585333160.1981623,130,-0.001983464229851961
1585333160.739528,131,-0.001931317150592804
1585333161.2892666,132,-0.001881642616353929
1585333161.8299139,133,-0.0018337228102609515
1585333162.3718486,134,-0.0017879789229482412
1585333162.9265192,135,-0.0017433429602533579
1585333163.4725828,136,-0.001699943677522242
1585333164.020224,137,-0.0016579341609030962
1585333164.5766368,138,-0.0016169438604265451
1585333165.1197677,139,-0.0015772741753607988
1585333165.6617444,140,-0.001539135817438364
1585333166.2164066,141,-0.0015019974671304226
1585333166.7656088,142,-0.0014659248990938067
1585333167.306278,143,-0.0014307023957371712
1585333167.8608527,144,-0.0013959513744339347
1585333168.4069269,145,-0.0013616944197565317
1585333168.9497585,146,-0.0013278095284476876
1585333169.5036817,147,-0.0012942650355398655
1585333170.0480134,148,-0.0012627557152882218
1585333170.5917242,149,-0.0012320916866883636
1585333171.1527903,150,-0.0012022368609905243
1585333171.697524,151,-0.0011731380363926291
1585333172.2439673,152,-0.0011446299031376839
1585333172.8014839,153,-0.0011167408665642142
1585333173.3421848,154,-0.001089578028768301
