Wall time,Step,Value
1585174602.3390102,0,100.0
1585174603.3883677,1,93.0
1585174604.40915,2,87.0
1585174605.447478,3,81.0
1585174606.3969998,4,81.0
1585174607.319769,5,74.0
1585174608.2571626,6,68.0
1585174609.160921,7,65.0
1585174610.0480292,8,65.0
1585174610.95244,9,71.0
1585174611.8373086,10,71.0
1585174612.6161542,11,69.0
1585174613.4804027,12,56.0
1585174614.319764,13,52.0
1585174615.155413,14,43.0
1585174615.9842622,15,46.0
1585174616.8377159,16,32.0
1585174617.725414,17,50.0
1585174618.5512965,18,40.0
1585174619.3758929,19,36.0
1585174620.204034,20,28.0
1585174621.0711386,21,25.0
1585174621.9013479,22,22.0
1585174622.732668,23,24.0
1585174623.5798273,24,26.0
1585174624.3962958,25,13.0
1585174625.224716,26,22.0
1585174626.073165,27,18.0
1585174626.8864768,28,17.0
1585174627.7052207,29,15.0
1585174628.568478,30,14.0
1585174629.383969,31,13.0
1585174630.2029874,32,18.0
1585174631.0424554,33,11.0
1585174631.894677,34,11.0
1585174632.7085977,35,11.0
1585174633.5487256,36,10.0
1585174634.3768828,37,12.0
1585174635.2030768,38,12.0
1585174636.0724359,39,14.0
1585174636.9012377,40,15.0
1585174637.7458024,41,10.0
1585174638.5649745,42,14.0
1585174639.3930128,43,13.0
1585174640.2280514,44,14.0
1585174641.0562444,45,7.0
1585174641.8684776,46,13.0
1585174642.7193754,47,9.0
1585174643.5731738,48,12.0
1585174644.4086487,49,7.0
1585174645.2415702,50,10.0
1585174646.1117363,51,14.0
1585174646.9173496,52,6.0
1585174647.717094,53,10.0
1585174648.4968233,54,12.0
1585174649.320156,55,10.0
1585174650.13363,56,6.0
1585174650.9560912,57,16.0
1585174651.7605145,58,6.0
1585174652.559049,59,10.0
1585174653.3649585,60,13.0
1585174654.184515,61,7.0
1585174654.991415,62,11.0
1585174655.7995872,63,5.0
1585174656.6256385,64,10.0
1585174657.4371035,65,9.0
1585174658.2695334,66,10.0
1585174659.0744638,67,6.0
1585174659.871016,68,22.0
1585174660.7167242,69,10.0
1585174661.5107203,70,5.0
1585174662.3289883,71,5.0
1585174663.1404352,72,5.0
1585174663.9337308,73,5.0
1585174664.7211711,74,5.0
1585174665.5191402,75,3.0
1585174666.3185709,76,3.0
1585174667.0980234,77,3.0
1585174667.9184694,78,3.0
